Fill,Boston,Acadia,Arches,Badlands,Big Bend,Biscayne,Black Canyon of the Gunnison,Bryce Canyon,Canyonlands,Capitol Reef,Carlsbad Caverns,Channel Islands,Congaree,Crater Lake,Cuyahoga Valley,Death Valley,Denali,Dry Tortugas,Everglades,Gates of the Arctic,Gateway Arch,Glacier Bay,Glacier,Grand Canyon,Grand Teton,Great Basin,Great Sand Dunes,Great Smoky Mountains,Guadalupe Mountains,Haleakalā,Hawaiʻi Volcanoes,Hot Springs,Indiana Dunes,Isle Royale,Joshua Tree,Katmai,Kenai Fjords,Kings Canyon,Kobuk Valley,Lake Clark,Lassen Volcanic,Mammoth Cave,Mesa Verde,Mount Rainier,National Park of American Samoa,North Cascades,Olympic,Petrified Forest,Pinnacles,Redwood,Rocky Mountain,Saguaro,Sequoia,Shenandoah,Theodore Roosevelt,Virgin Islands,Voyageurs,White Sands National Park,Wind Cave,Wrangell–St. Elias,Yellowstone,Yosemite,Zion
Redwood,3241.82;49.1,3452.42;52.76,1121.32;17.73,1587.8;24.39,1820.87;28.13,3387.14;50.54,1244.79;19.79,954.43;16.45,1142.75;22.51,994.61;17.09,1636.57;24.96,642.09;10.38,2977.21;44.61,225.05;4.72,2619.03;39.1,748.58;12.95,2805.96;50.11,3514.77;53.26,3426.56;51.24,2983.93;55.1,2204.36;33.11,2170.02;40.48,1052.97;17.53,1100.05;17.37,998.67;17.09,767.57;13.26,1443.76;23.09,2731.69;41.09,1598.31;24.34,N/A;N/A,N/A;N/A,2243.2;34.29,2317.9;34.64,2365.09;37.34,854.7;13.73,3019.62;54.54,2924.83;52.56,584.85;10.24,2936.03;54.07,2808.01;50.75,242.61;4.84,2495.28;37.73,1241.76;19.7,522.99;9.44,N/A;N/A,660.37;11.54,615.95;11.15,1189.19;18.42,439.79;7.61,0;0,1389.47;21.84,1194.9;18.57,586.09;10.39,2966.01;45.11,1551.8;24.26,N/A;N/A,2124.47;32.66,1506.52;22.89,1501.15;23.03,2546.91;45.96,1075.73;18.52,512.29;9.3,931.66;15.93
Rocky Mountain,1996.47;30.17,2274.41;34.73,384.93;6.42,400.88;6.56,924.15;15.02,2151.2;31.39,312.6;6.14,587.07;10.05,521.82;12.07,473.97;8.09,672.02;10.46,1144.98;17.44,1678.48;24.83,1198.19;18.99,1368.12;20.27,922.45;14.08,3195.3;53.09,2278.83;34.1,2190.62;32.08,3373.27;58.08,905.63;13.34,2559.37;43.46,921.27;14.03,709.49;11.87,487.4;8.33,658.78;10.77,298.69;4.97,1432.96;21.32,703.32;10.9,N/A;N/A,N/A;N/A,991.74;15.37,1066.98;15.81,1345.5;20.56,1039.57;16.1,3408.97;57.51,3314.16;55.09,1228.1;19.44,3325.37;57.05,3197.35;53.73,1172.63;18.15,1196.55;17.96,428.67;7.94,1241.17;19.42,N/A;N/A,1347.01;20.72,1426.93;22.41,717.3;10.73,1230.65;19.15,1385.05;21.96,0;0,952.0;14.13,1168.13;18.73,1695.18;25.37,612.29;10.04,N/A;N/A,1215.51;17.96,627.15;9.79,345.49;5.58,2936.25;48.94,546.44;8.67,1029.0;16.67,665.66;10.63
Saguaro,2713.08;40.36,2896.29;43.7,612.97;9.68,1233.85;18.59,639.28;10.04,2273.26;32.75,631.51;11.42,580.62;9.49,601.78;13.37,646.85;11.05,454.99;6.86,613.85;9.38,1953.93;28.46,1185.92;18.95,1986.52;29.12,561.48;8.9,3758.54;61.38,2400.88;35.47,2312.67;33.45,3936.51;66.37,1442.73;21.19,3122.61;51.75,1467.65;22.0,362.41;5.58,1064.15;17.19,741.03;11.51,673.42;10.33,1829.77;26.89,416.72;6.25,N/A;N/A,N/A;N/A,1237.5;18.04,1759.52;25.91,2031.79;31.42,366.82;5.7,3972.21;65.8,3876.79;63.48,782.73;12.72,3888.61;65.34,3760.59;62.01,1049.27;16.51,1697.53;24.65,488.32;8.48,1497.53;23.32,N/A;N/A,1616.17;25.47,1683.29;26.31,276.07;5.16,774.73;12.18,1194.98;18.59,951.7;14.11,0;0,722.76;12.01,2189.54;32.16,1494.98;22.39,N/A;N/A,1901.8;28.83,324.93;4.8,1228.18;17.94,3499.49;57.23,1194.16;18.82,795.73;12.7,545.79;9.02
Sequoia,3104.85;47.04,3309.94;50.78,853.57;13.71,1489.76;23.2,1348.78;21.56,2903.32;43.69,977.04;15.77,672.89;11.54,858.85;18.12,736.5;12.69,1164.48;18.39,266.2;5.31,2535.12;37.98,624.37;10.9,2476.55;37.13,353.87;6.94,3277.08;57.54,3030.94;46.4,2942.73;44.38,3455.05;62.53,1950.83;29.34,2641.14;47.91,1460.36;22.67,616.22;10.52,1081.76;17.91,700.84;11.86,1104.02;18.22,2351.97;35.47,1126.22;17.77,N/A;N/A,N/A;N/A,1759.37;27.44,2175.42;32.67,2453.93;37.42,382.61;7.16,3490.75;61.96,3395.73;59.98,100.58;3.46,3407.15;61.5,3279.13;58.18,422.07;8.02,N/A;N/A,865.71;14.28,994.11;16.87,N/A;N/A,1131.49;18.97,1087.07;18.58,705.37;11.57,183.99;4.2,586.05;10.4,1168.27;18.74,722.81;12.0,0;0,2711.74;40.74,1629.51;25.53,N/A;N/A,2161.93;33.54,1034.43;16.32,1403.1;21.84,3018.03;53.39,1211.77;19.54,221.79;5.47,555.16;9.82
Shenandoah,530.65;9.16,811.44;13.72,1995.01;29.74,1582.05;24.08,1817.06;27.43,1043.11;16.13,1856.7;28.78,N/A;N/A,2131.89;35.4,2084.05;31.42,1726.47;25.95,2687.96;39.51,435.33;7.11,N/A;N/A,362.75;6.31,2503.01;36.94,4280.68;70.14,1170.74;18.84,1082.52;16.82,4458.65;75.14,790.03;12.14,3644.75;60.51,2221.63;33.84,2209.55;32.46,2072.18;31.68,2268.85;34.1,1728.23;26.12,410.24;6.78,1757.78;26.38,N/A;N/A,N/A;N/A,981.79;14.81,667.78;10.85,1115.91;17.93,2449.98;36.44,4494.35;74.57,4390.98;72.18,2771.07;41.51,4410.75;74.1,4282.74;70.78,2757.41;41.5,591.9;9.37,1924.15;29.83,2808.33;42.67,N/A;N/A,2744.08;41.71,2906.57;43.97,2007.82;29.4,2773.62;41.23,2969.83;45.31,1698.91;25.41,N/A;N/A,2711.1;40.8,0;0,1686.31;25.82,N/A;N/A,1318.14;20.76,1878.53;27.83,1673.96;25.38,4021.63;66.0,2057.14;31.38,2639.08;40.0,N/A;N/A
Theodore Roosevelt,1958.3;29.61,1942.76;33.19,923.64;14.59,296.28;4.98,1422.68;22.92,2392.55;34.69,880.58;14.34,1130.43;17.33,1060.53;20.24,1012.69;16.26,1215.35;18.71,1631.65;24.26,1808.39;26.78,1329.07;20.73,1328.99;19.63,1409.12;20.89,2740.58;46.73,2520.18;37.4,2431.96;35.38,2920.28;51.73,1129.97;16.82,2104.59;37.1,571.79;9.25,1248.21;20.03,557.76;9.7,1088.18;16.8,842.02;13.22,1562.87;23.26,1246.66;19.15,N/A;N/A,N/A;N/A,1330.83;20.08,1033.75;15.21,840.78;14.14,1526.24;22.92,2954.24;51.15,2854.36;48.76,1629.41;25.4,2872.38;50.7,2742.63;47.36,1396.35;21.51,1368.13;20.14,996.11;16.46,1124.97;17.19,N/A;N/A,1085.4;16.95,1247.89;19.21,1260.63;18.98,1555.17;23.8,1553.05;24.15,611.08;9.96,1495.33;22.38,1654.8;25.54,1675.97;25.63,0;0,N/A;N/A,600.16;9.46,1170.48;18.04,309.11;5.34,2481.53;42.58,451.67;7.08,1355.68;20.94,1152.33;17.45
Virgin Islands,N/A;N/A,N/A;N/A,N/A;N/A,N/A;N/A,N/A;N/A,N/A;N/A,N/A;N/A,N/A;N/A,N/A;N/A,N/A;N/A,N/A;N/A,N/A;N/A,N/A;N/A,N/A;N/A,N/A;N/A,N/A;N/A,N/A;N/A,N/A;N/A,N/A;N/A,N/A;N/A,N/A;N/A,N/A;N/A,N/A;N/A,N/A;N/A,N/A;N/A,N/A;N/A,N/A;N/A,N/A;N/A,N/A;N/A,N/A;N/A,N/A;N/A,N/A;N/A,N/A;N/A,N/A;N/A,N/A;N/A,N/A;N/A,N/A;N/A,N/A;N/A,N/A;N/A,N/A;N/A,N/A;N/A,N/A;N/A,N/A;N/A,N/A;N/A,N/A;N/A,N/A;N/A,N/A;N/A,N/A;N/A,N/A;N/A,N/A;N/A,N/A;N/A,N/A;N/A,N/A;N/A,N/A;N/A,N/A;N/A,0;0,N/A;N/A,N/A;N/A,N/A;N/A,N/A;N/A,N/A;N/A,N/A;N/A,N/A;N/A
Voyageurs,1590.13;24.54,1509.16;26.4,1539.91;22.59,731.48;11.92,1713.55;25.57,2026.72;29.73,1457.99;22.16,1638.19;25.46,1676.8;28.24,1628.96;24.26,1605.83;23.81,2139.42;32.39,1442.56;21.82,1901.58;29.22,963.16;14.67,1916.89;29.03,3016.51;51.35,2154.34;32.44,2066.13;30.42,3194.48;56.34,824.33;12.33,2380.58;41.72,1047.17;16.95,1864.48;28.04,1130.27;18.19,1595.94;24.93,1347.3;20.42,1197.04;18.3,1637.13;24.24,N/A;N/A,N/A;N/A,1128.37;17.11,667.91;10.25,407.18;7.35,1995.53;30.77,3230.18;55.77,3136.19;53.42,2201.92;33.89,3146.58;55.31,3018.56;51.98,1968.86;29.99,1002.3;15.18,1574.06;23.96,1697.49;25.68,N/A;N/A,1657.91;25.44,1820.4;27.7,1702.37;25.65,2127.68;32.28,2125.56;32.64,1214.73;18.04,1898.48;28.82,2162.57;33.68,1310.13;20.67,600.14;9.55,N/A;N/A,0;0,1573.08;24.08,808.46;12.86,2757.46;47.2,1024.18;15.57,1928.19;29.43,1660.1;25.58
White Sands National Park,2293.6;34.42,2571.48;38.93,601.09;9.71,909.67;14.26,425.57;6.94,1943.61;29.2,560.46;9.79,764.9;12.54,651.96;14.16,697.03;11.84,184.93;3.41,919.1;13.75,1615.69;24.26,1491.16;23.33,1661.71;24.35,866.72;13.28,3753.8;61.11,2071.24;31.92,1983.03;29.9,3931.77;66.11,1117.92;16.41,3117.87;51.48,1479.78;22.05,562.75;9.0,1061.74;16.5,905.28;14.88,403.84;6.78,1484.36;22.68,193.4;3.04,N/A;N/A,N/A;N/A,892.09;13.83,1434.71;21.13,1706.98;26.65,678.79;10.05,3967.47;65.54,3873.56;63.17,1094.7;17.07,3883.88;65.08,3755.86;61.75,1361.23;20.85,1352.12;20.44,485.07;7.64,1598.83;25.0,N/A;N/A,1717.48;27.16,1784.59;28.0,410.43;6.26,1079.97;16.55,1506.95;22.94,627.52;9.78,318.78;4.79,1028.01;16.39,1844.13;27.95,1170.8;18.06,N/A;N/A,1576.99;24.05,0;0,904.0;13.61,3494.75;56.97,1104.94;16.69,1100.97;17.08,730.77;12.22
Wind Cave,1945.94;29.17,2222.2;33.68,695.28;10.71,99.78;1.69,1138.15;18.28,2173.35;32.45,613.36;10.27,878.15;13.71,832.17;16.36,784.33;12.38,948.67;14.33,1379.37;20.65,1700.62;25.89,1308.86;20.17,1315.91;19.22,1156.84;17.28,3002.37;50.34,2300.98;35.16,2212.76;33.14,3180.34;55.33,927.77;14.39,2366.43;40.71,728.34;11.28,1019.85;16.15,474.1;7.55,835.9;13.19,575.34;8.84,1455.11;22.38,979.97;14.77,N/A;N/A,N/A;N/A,1084.18;17.24,1020.67;14.8,1036.79;16.13,1273.96;19.31,3216.03;54.76,3122.33;52.34,1516.35;23.23,3132.44;54.3,3004.42;50.97,1283.29;19.33,1218.7;19.01,729.43;12.08,1193.65;18.21,N/A;N/A,1154.08;17.97,1316.56;20.23,993.95;14.6,1442.11;21.62,1495.72;23.14,344.4;5.58,1228.65;18.0,1402.52;21.93,1662.89;25.23,309.17;5.42,N/A;N/A,808.43;12.84,903.8;13.66,0;0,2743.31;46.19,432.58;7.26,1183.85;18.27,900.05;13.84
