Fill,Boston,Acadia,Arches,Badlands,Big Bend,Biscayne,Black Canyon of the Gunnison,Bryce Canyon,Canyonlands,Capitol Reef,Carlsbad Caverns,Channel Islands,Congaree,Crater Lake,Cuyahoga Valley,Death Valley,Denali,Dry Tortugas,Everglades,Gates of the Arctic,Gateway Arch,Glacier Bay,Glacier,Grand Canyon,Grand Teton,Great Basin,Great Sand Dunes,Great Smoky Mountains,Guadalupe Mountains,Haleakalā,Hawaiʻi Volcanoes,Hot Springs,Indiana Dunes,Isle Royale,Joshua Tree,Katmai,Kenai Fjords,Kings Canyon,Kobuk Valley,Lake Clark,Lassen Volcanic,Mammoth Cave,Mesa Verde,Mount Rainier,National Park of American Samoa,North Cascades,Olympic,Petrified Forest,Pinnacles,Redwood,Rocky Mountain,Saguaro,Sequoia,Shenandoah,Theodore Roosevelt,Virgin Islands,Voyageurs,White Sands National Park,Wind Cave,Wrangell–St. Elias,Yellowstone,Yosemite,Zion
Boston,0.0;0.0,285.27;4.98,2322.77;34.72,1853.76;27.87,2334.6;35.33,1522.87;23.39,2241.52;34.28,2524.96;38.38,2459.47;40.4,2411.63;36.41,2226.15;33.62,3083.34;45.83,926.21;15.08,3062.77;46.12,650.94;10.34,2880.83;43.19,4556.12;73.67,1651.09;26.14,1562.67;24.06,4736.95;78.67,1177.71;18.07,3920.42;64.13,2494.31;37.62,2626.29;38.95,2345.97;35.46,2583.57;39.06,2109.78;31.86,934.57;14.95,2255.55;33.97,N/A;N/A,N/A;N/A,1505.05;22.99,940.48;14.76,1258.49;19.95,2866.49;42.94,4770.4;78.07,4673.98;76.12,3166.79;47.77,4689.05;77.64,4558.23;74.27,3035.02;45.21,1057.2;16.37,2291.8;35.24,3079.85;46.46,N/A;N/A,3016.71;45.56,3178.73;47.78,2424.46;35.88,3169.97;47.49,3249.01;49.04,1998.1;30.21,2619.98;39.18,3106.54;47.07,533.16;9.18,1958.97;29.57,N/A;N/A,1591.14;24.61,2295.17;34.41,1945.9;29.18,4297.1;69.49,2331.86;35.23,2935.3;44.17,2603.43;38.95
Acadia,283.26;4.9,0;0,2519.32;38.57,1955.86;31.82,2608.95;39.95,1811.03;28.08,2437.39;38.14,2721.46;42.21,2656.2;44.22,2608.36;40.24,2501.23;38.19,3279.37;49.59,1223.92;19.77,3252.63;49.97,930.5;14.83,3056.84;46.23,4498.02;77.34,1938.65;30.79,1850.44;28.77,4675.99;82.34,1454.95;22.63,3862.09;67.72,2479.11;41.38,2904.14;43.62,2541.84;39.31,2793.16;42.93,2386.72;36.51,1212.84;19.57,2532.53;38.62,N/A;N/A,N/A;N/A,1784.39;27.6,1219.28;19.22,1260.43;22.34,3144.57;47.6,4711.69;81.77,4617.35;79.45,3362.49;51.59,4628.09;81.31,4500.07;77.98,3227.07;49.13,1338.1;20.96,2582.63;40.22,3041.14;49.49,N/A;N/A,3001.56;49.25,3164.05;51.51,2702.41;40.56,3365.04;51.31,3439.49;52.94,2275.99;34.75,2898.52;43.73,3302.52;50.88,810.17;13.73,2237.82;34.18,N/A;N/A,1507.99;26.44,2573.12;38.99,2047.77;33.12,4238.97;73.2,2430.95;39.12,3127.63;48.07,2800.05;42.78
Arches,2321.65;34.73,2526.17;38.43,0;0,747.46;11.61,929.85;15.5,2450.9;35.63,193.27;3.42,272.15;5.01,206.89;7.02,159.04;3.04,677.72;10.95,830.06;12.39,1978.17;29.07,929.16;14.76,1692.78;24.78,607.52;9.03,3199.6;53.05,2578.52;38.34,2490.31;36.32,3377.57;58.04,1205.32;17.57,2563.67;43.42,908.71;13.68,340.69;5.97,505.21;8.86,343.85;5.73,349.28;6.37,1732.65;25.56,709.02;11.38,N/A;N/A,N/A;N/A,1222.79;19.26,1391.65;20.32,1670.16;25.06,688.11;11.06,3413.27;57.47,3318.47;55.14,913.17;14.39,3329.67;57.01,3201.65;53.69,903.6;13.92,1496.24;22.19,136.57;2.5,1013.85;15.82,N/A;N/A,1132.5;17.97,1199.61;18.81,305.31;5.21,915.72;14.11,1116.02;17.73,384.5;6.39,612.57;9.72,853.2;13.68,1994.88;29.6,923.92;14.59,N/A;N/A,1540.17;22.47,599.71;9.62,695.02;10.62,2940.55;48.9,635.23;10.49,714.07;11.62,350.73;5.58
Badlands,1854.04;27.86,1953.58;31.73,747.05;11.68,0;0,1168.46;18.77,2160.67;31.33,665.12;11.25,949.19;15.32,883.93;17.33,836.09;13.35,953.56;14.98,1466.5;22.04,1687.95;24.78,1395.99;21.56,1223.77;17.9,1243.97;18.68,2974.08;50.28,2288.3;34.05,2200.09;32.02,3152.05;55.28,915.1;13.28,2338.15;40.66,728.2;11.58,1071.61;17.13,561.23;8.95,923.03;14.59,628.7;9.78,1442.43;21.26,984.86;15.41,N/A;N/A,N/A;N/A,1088.89;16.32,928.52;13.48,944.64;14.81,1361.09;20.7,3187.75;54.71,3094.52;52.45,1549.62;24.04,3104.16;54.25,2976.14;50.92,1370.43;20.73,1206.02;17.9,781.19;13.05,1193.51;18.51,N/A;N/A,1153.93;18.28,1316.42;20.54,998.84;15.25,1529.24;23.02,1582.85;24.54,399.76;6.61,1233.54;18.65,1489.65;23.33,1570.74;23.91,295.09;5.07,N/A;N/A,729.96;11.84,908.69;14.31,100.15;1.73,2715.03;46.14,487.82;7.88,1270.98;19.66,987.18;15.23
Big Bend,2340.15;35.65,2610.91;39.84,972.63;15.49,1170.77;18.77,0;0,1818.8;27.22,875.87;15.26,1136.44;18.32,1023.5;19.94,1068.57;17.63,283.31;5.12,1240.29;18.91,1583.24;23.66,1812.36;28.49,1701.15;25.26,1187.92;18.44,4050.6;66.27,1946.43;29.93,1858.22;27.91,4228.57;71.26,1157.36;17.33,3414.66;56.64,1776.57;27.21,891.05;14.66,1358.53;21.66,1233.57;20.54,719.25;12.25,1459.08;22.09,274.56;4.73,N/A;N/A,N/A;N/A,866.81;13.24,1474.14;22.05,1849.53;28.1,993.26;15.24,4264.26;70.69,4170.56;68.4,1409.17;22.26,4180.67;70.23,4052.65;66.91,1652.62;25.86,1326.83;19.85,856.61;13.42,1995.04;31.5,N/A;N/A,2089.02;32.94,2156.14;33.78,781.97;12.05,1401.17;21.71,1821.42;28.13,924.31;14.94,639.98;9.95,1349.2;21.55,1818.85;27.36,1467.59;23.22,N/A;N/A,1719.54;25.51,425.32;6.88,1126.26;18.28,3791.54;62.12,1401.73;21.85,1422.17;22.24,1059.07;17.88
Biscayne,1531.5;23.51,1799.11;27.92,2452.64;35.78,2162.44;31.47,1818.62;27.24,0;0,2215.66;34.03,2551.44;38.67,2414.56;40.13,2541.68;37.45,1826.34;27.2,2873.63;41.67,646.07;9.65,3259.19;48.4,1250.7;18.54,2692.16;39.93,4988.45;79.15,137.86;3.16,49.65;1.14,5166.42;84.14,1247.67;18.17,4352.51;69.52,2877.91;42.47,2398.7;35.44,2548.39;37.75,2726.49;40.13,2048.79;30.63,882.34;13.56,1907.91;27.51,N/A;N/A,N/A;N/A,1272.32;18.51,1397.47;20.47,1882.83;28.37,2626.6;37.99,5202.11;83.57,5107.56;81.23,2960.22;44.49,5118.52;83.11,4990.5;79.78,3156.86;47.35,1034.06;15.12,2246.21;33.59,3302.17;48.83,N/A;N/A,3303.64;49.17,3466.13;51.43,2196.97;32.39,2962.77;44.21,3383.02;50.63,2156.54;31.44,2273.32;32.71,2900.25;43.78,1073.09;16.11,2394.07;34.82,N/A;N/A,2025.9;29.76,1943.71;29.29,2174.68;32.54,4729.39;75.0,2524.93;37.77,2938.45;43.87,2517.11;38.33
Black Canyon of the Gunnison,2239.72;34.29,2444.93;38.0,193.83;3.44,666.22;11.18,876.24;15.3,2218.47;33.92,0;0,395.97;7.08,330.72;9.09,282.87;5.11,624.12;10.75,953.88;14.46,1828.82;28.15,1052.99;16.83,1611.54;24.34,731.35;11.1,3323.43;55.12,2346.1;36.63,2257.89;34.61,3501.4;60.11,1055.97;16.65,2687.49;45.49,1032.53;15.75,423.25;7.71,530.12;9.49,467.67;7.8,221.55;4.05,1583.3;24.63,655.42;11.18,N/A;N/A,N/A;N/A,1047.27;17.46,1310.4;19.89,1588.92;24.63,770.67;12.8,3537.09;59.55,3441.94;57.2,1037.0;16.46,3453.5;59.08,3325.48;55.76,1027.43;15.99,1346.89;21.27,159.9;3.22,1137.68;17.89,N/A;N/A,1256.32;20.04,1323.44;20.88,356.95;6.38,1039.55;16.18,1239.85;19.8,312.57;6.12,695.12;11.46,977.03;15.75,1845.52;28.68,881.03;14.33,N/A;N/A,1458.93;22.03,562.32;9.73,613.77;10.18,3064.38;50.97,653.12;10.88,837.9;13.69,474.56;7.65
Bryce Canyon,2523.79;38.37,2728.37;42.1,271.99;5.03,964.72;14.96,1136.66;18.4,2554.54;38.54,395.46;7.08,0;0,250.49;8.69,128.14;3.27,865.52;13.98,649.33;10.24,2180.37;32.74,879.97;14.79,1894.98;28.44,426.8;6.88,3251.11;53.85,2682.17;41.26,2593.96;39.24,3429.08;58.85,1407.52;21.24,2615.18;44.22,960.22;14.48,308.36;5.75,556.72;9.67,220.8;4.29,594.44;10.39,1934.85;29.22,896.82;14.42,N/A;N/A,N/A;N/A,1410.6;22.29,1593.85;23.99,1872.36;28.73,543.92;8.9,3464.78;58.28,3369.81;55.94,732.45;12.24,3381.18;57.82,3253.17;54.49,740.1;12.63,1698.44;25.86,395.63;6.83,1065.37;16.62,N/A;N/A,1184.01;18.78,1251.12;19.62,406.32;6.89,735.0;11.95,952.52;16.44,586.69;10.05,580.23;9.5,672.48;11.53,2197.08;33.27,1129.37;17.34,N/A;N/A,1636.9;25.3,764.85;12.49,878.07;13.6,2992.06;49.71,686.74;11.29,560.34;9.63,133.79;3.34
Canyonlands,2458.53;40.38,2662.88;44.12,206.5;7.05,884.17;17.3,1023.0;19.97,2418.22;39.95,329.98;9.1,250.49;8.71,0;0,142.43;6.5,729.19;15.39,835.34;16.84,2050.02;34.24,1018.33;19.8,1829.49;30.46,612.81;13.48,3288.77;58.09,2545.84;42.66,2457.63;40.64,3466.74;63.08,1342.03;23.26,2652.84;48.46,997.87;18.72,329.5;9.65,594.38;13.91,388.95;10.51,430.97;11.33,1869.36;31.24,760.5;15.82,N/A;N/A,N/A;N/A,1274.27;23.7,1528.36;26.01,1806.87;30.75,676.92;14.73,3502.44;62.51,3406.62;60.13,918.46;18.84,3418.84;62.05,3290.82;58.73,902.72;18.73,1632.95;27.88,218.26;7.46,1103.02;20.86,N/A;N/A,1221.66;23.01,1288.78;23.85,337.73;9.3,921.0;18.56,1115.14;22.54,521.2;12.08,601.37;13.39,858.49;18.13,2131.59;35.29,1060.63;20.28,N/A;N/A,1676.88;28.15,651.19;14.06,831.73;16.3,3029.72;53.94,724.39;15.53,746.34;16.23,356.02;10.03
Capitol Reef,2410.69;36.4,2615.03;40.13,158.66;3.06,836.33;13.31,1026.39;17.59,2539.76;37.32,282.13;5.11,128.14;3.27,142.43;6.49,0;0,774.27;13.03,712.99;11.41,2067.04;30.77,925.92;15.0,1781.65;26.47,490.46;8.04,3196.35;53.29,2667.39;40.04,2579.17;38.02,3374.32;58.28,1294.18;19.27,2560.42;43.66,905.46;13.92,374.57;7.29,501.96;9.11,266.6;5.08,481.11;8.42,1821.52;27.25,805.57;13.47,N/A;N/A,N/A;N/A,1380.3;21.3,1480.51;22.02,1759.02;26.76,607.57;10.07,3410.02;57.72,3315.16;55.36,796.1;13.4,3326.43;57.25,3198.41;53.93,780.37;13.29,1585.11;23.89,279.1;5.03,1010.61;16.06,N/A;N/A,1129.25;18.21,1196.37;19.05,382.8;6.94,798.65;13.12,992.79;17.1,473.36;8.08,646.45;11.04,736.13;12.69,2083.74;31.3,1012.78;16.29,N/A;N/A,1629.03;24.16,696.26;11.7,783.88;12.31,2937.3;49.14,631.98;10.73,623.99;10.8,233.66;4.6
Carlsbad Caverns,2249.56;34.16,2502.46;38.14,679.5;11.14,956.27;15.01,285.21;5.25,1827.93;27.23,625.68;10.85,867.26;14.13,730.37;15.59,775.44;13.27,0;0,1055.09;15.78,1500.21;22.31,1627.15;25.36,1592.7;23.56,1002.72;15.31,3800.4;61.86,1955.55;29.95,1867.34;27.92,3978.37;66.86,1048.91;15.62,3164.47;52.23,1526.37;22.8,714.51;10.91,1108.33;17.26,1007.24;16.35,469.06;7.85,1368.68;20.71,39.02;0.7,N/A;N/A,N/A;N/A,776.41;11.86,1365.69;20.35,1741.08;26.4,808.06;12.11,4014.07;66.29,3918.44;63.85,1223.97;19.13,N/A;N/A,3802.45;62.5,1467.42;22.73,1236.43;18.47,562.02;9.06,1677.25;26.44,N/A;N/A,1795.89;28.59,1863.0;29.43,512.79;7.85,1215.97;18.58,1636.22;25.0,674.12;10.53,454.78;6.82,1164.0;18.42,1728.44;25.98,1217.39;18.81,N/A;N/A,1611.09;23.8,186.54;3.49,950.59;14.36,3541.35;57.72,1151.54;17.44,1236.96;19.11,832.92;13.8
Channel Islands,3081.7;45.75,3286.04;49.5,829.67;12.43,1465.86;21.92,1239.8;18.98,2873.77;41.69,953.14;14.48,648.99;10.26,834.95;16.83,712.6;11.4,1055.5;15.81,0;0,2511.22;36.69,728.2;11.54,2452.66;35.84,352.05;5.98,3380.91;58.18,3001.4;44.41,2913.18;42.39,3558.88;63.17,1926.94;28.06,2744.97;48.55,1461.35;21.44,592.32;9.23,1057.86;16.63,676.94;10.57,1055.86;16.89,2328.07;34.18,1017.23;15.19,N/A;N/A,N/A;N/A,1735.47;26.15,2151.52;31.39,2430.03;36.13,273.62;4.58,3594.57;62.6,3499.24;60.61,324.4;5.92,3510.98;62.14,3382.96;58.81,551.83;8.65,2195.83;31.94,841.81;12.99,1097.94;17.51,N/A;N/A,1235.32;19.6,1190.9;19.22,681.47;10.28,208.14;3.42,641.96;10.38,1144.37;17.45,613.82;9.42,266.44;5.35,2687.84;39.45,1630.51;24.3,N/A;N/A,2138.04;32.26,925.45;13.74,1379.2;20.56,3121.86;54.03,1187.87;18.25,364.15;7.0,531.26;8.54
Congaree,944.39;15.19,1204.49;19.61,1978.81;29.23,1688.61;24.93,1581.96;23.75,645.94;9.65,1840.5;28.27,2180.95;32.87,2051.45;34.43,2067.85;30.91,1491.37;22.26,2514.0;36.8,0;0,2785.61;41.87,617.16;9.43,2329.06;34.23,4408.63;71.28,773.57;12.36,685.36;10.34,4588.33;76.28,773.83;11.63,3772.64;61.65,2349.75;34.99,2035.6;29.75,2074.56;31.21,2253.47;33.61,1658.34;24.76,259.88;4.61,1522.68;22.69,N/A;N/A,N/A;N/A,807.84;12.1,814.98;12.38,1297.88;20.26,2276.03;33.73,4622.3;75.71,4523.4;73.32,2597.12;38.8,4540.43;75.25,4410.68;71.92,2759.79;41.02,484.6;8.05,1883.11;27.9,2853.0;43.0,N/A;N/A,2831.21;42.63,2992.29;44.89,1833.87;26.69,2599.67;38.52,2972.21;44.83,1682.71;24.9,1954.89;28.46,2537.15;38.09,434.3;7.08,1814.26;26.96,N/A;N/A,1446.09;21.89,1608.75;24.35,1700.85;26.0,4149.58;67.13,2051.09;31.23,2575.35;38.17,2154.01;32.64
Crater Lake,3054.96;46.13,3266.18;49.84,935.08;14.81,1401.56;21.47,1814.35;28.55,3263.69;48.25,1058.55;16.87,882.46;14.85,1023.22;19.8,931.76;15.04,1596.67;25.24,730.12;11.63,2790.97;41.69,0;0,2432.79;36.18,696.37;11.83,2691.02;48.13,3391.32;50.96,3303.11;48.94,2868.99;53.13,2018.12;30.19,2055.08;38.51,829.5;14.02,1034.66;16.74,803.25;13.43,695.61;11.66,1257.52;20.18,N/A;N/A,1591.79;24.75,N/A;N/A,N/A;N/A,2143.51;32.68,2131.66;31.73,2141.61;33.83,913.29;14.63,2904.68;52.56,2809.48;50.64,625.37;10.86,2821.09;52.1,2693.07;48.77,252.88;4.87,2309.04;34.82,1055.52;16.79,408.04;7.47,N/A;N/A,545.43;9.56,501.0;9.18,1123.8;17.79,527.81;8.86,227.5;4.78,1203.23;18.92,1253.49;19.47,626.61;11.0,2779.77;42.19,1328.33;20.74,N/A;N/A,1900.99;29.14,1500.0;23.3,1314.9;20.11,2431.96;43.99,880.31;14.87,489.95;8.91,865.46;14.37
Cuyahoga Valley,650.98;10.25,927.25;14.87,1692.46;24.89,1224.85;18.03,1696.08;25.34,1251.02;18.51,1610.53;24.46,1894.6;28.53,1829.34;30.54,1781.5;26.56,1588.36;23.57,2452.51;35.91,617.76;9.42,2425.77;36.29,0;0,2229.98;32.55,3923.48;64.09,1378.65;21.23,1290.44;19.21,4101.45;69.09,542.07;8.02,3287.54;54.47,1864.42;27.79,1991.26;29.0,1714.97;25.63,1966.3;29.25,1473.84;21.9,528.39;8.09,1619.66;24.0,N/A;N/A,N/A;N/A,903.77;13.31,310.57;4.81,758.7;11.88,2231.69;32.99,4137.14;68.52,4044.0;66.17,2535.62;37.91,4053.55;68.06,3925.53;64.73,2400.21;35.45,425.23;6.35,1669.76;25.61,2451.12;36.62,N/A;N/A,2386.88;35.66,2549.37;37.92,1789.54;25.95,2538.17;37.63,2612.63;39.26,1367.27;20.34,1985.65;29.12,2475.66;37.2,362.29;6.29,1329.11;19.77,N/A;N/A,960.94;14.71,1660.25;24.38,1316.75;19.33,3664.43;59.95,1699.93;25.33,2300.76;34.39,1973.19;29.1
Death Valley,2859.17;42.39,3061.46;46.65,603.64;9.56,1239.83;19.05,1194.46;18.81,2701.86;40.18,727.12;11.62,422.97;7.39,608.93;13.96,486.58;8.54,1012.84;15.62,389.29;6.5,2340.84;34.48,694.8;11.91,2226.63;32.98,0;0,3483.16;57.71,2829.49;42.89,2741.28;40.87,3662.86;62.71,1739.18;25.77,2847.18;48.09,1192.27;18.34,414.77;7.0,831.83;13.76,398.24;6.77,853.89;14.59,2150.52;31.96,971.9;15.02,N/A;N/A,N/A;N/A,1557.92;23.92,1925.5;28.52,2204.01;33.26,312.18;5.88,3696.83;62.14,3648.5;59.5,472.41;8.5,3614.97;61.68,3485.22;58.35,535.06;9.29,2018.28;29.72,639.84;10.69,1055.17;17.25,N/A;N/A,1173.81;19.41,1152.16;19.41,503.92;8.05,474.95;8.22,747.48;13.1,918.34;14.59,568.49;9.25,412.44;7.79,2510.29;37.22,1361.28;21.2,N/A;N/A,1912.01;29.39,880.11;13.57,1153.18;17.69,3224.11;53.57,918.62;15.15,316.65;5.81,305.24;5.67
Denali,4552.67;73.93,4499.48;77.01,3200.6;52.7,2976.65;50.01,4052.7;65.96,4989.69;78.79,3324.08;54.76,3251.94;53.49,3288.75;57.69,3197.29;52.92,3800.57;61.41,3381.37;58.17,4405.54;70.88,2691.62;48.2,3926.13;63.73,3530.63;57.06,0;0,5117.32;81.5,5029.11;79.48,423.43;9.08,3727.11;60.92,756.78;13.68,2314.44;39.83,3487.05;57.28,2780.47;47.53,3209.69;52.97,3427.23;55.92,4160.02;67.36,3831.87;61.84,N/A;N/A,N/A;N/A,3927.98;64.18,3630.89;59.31,3399.41;57.59,3609.28;58.8,455.92;8.16,360.1;6.25,3276.62;57.39,375.53;8.05,224.43;3.91,2912.87;51.54,3965.27;64.24,3321.05;54.67,2366.4;43.21,N/A;N/A,2249.8;40.93,2343.11;43.59,3489.79;57.39,3179.07;55.4,2806.96;50.12,3196.29;52.65,3758.92;61.03,3277.86;57.53,4273.11;69.73,2736.49;46.31,N/A;N/A,3018.33;50.98,3755.7;60.73,3004.46;49.9,276.43;5.99,2739.1;47.07,3139.69;55.71,3273.84;53.61
Dry Tortugas,1659.13;26.22,1927.4;30.65,2580.87;38.52,2290.67;34.22,1946.85;29.98,138.05;3.17,2343.89;36.78,2679.67;41.41,2542.78;42.87,2669.91;40.19,1954.57;29.95,3001.86;44.41,774.3;12.4,3387.41;51.15,1378.93;21.29,2820.39;42.67,5116.67;81.89,0;0,166.89;3.69,5294.64;86.88,1375.9;20.92,4480.74;72.26,3006.13;45.22,2526.93;38.19,2676.62;40.49,2854.72;42.88,2177.02;33.38,1010.57;16.3,2036.13;30.25,N/A;N/A,N/A;N/A,1400.55;21.25,1525.7;23.22,2008.6;31.11,2754.83;40.74,5330.34;86.32,5235.19;83.94,3088.45;47.24,5246.74;85.85,5118.73;82.53,3285.09;50.1,1162.29;17.87,2374.44;36.34,3430.4;51.58,N/A;N/A,3431.87;51.91,3594.36;54.18,2325.2;35.13,3091.0;46.96,3511.25;53.38,2284.77;34.19,2401.55;35.45,3028.48;46.53,1201.32;18.86,2522.3;37.57,N/A;N/A,2154.13;32.5,2071.94;32.04,2302.91;35.29,4857.62;77.74,2653.15;40.51,3066.68;46.61,2645.34;41.08
Everglades,1570.92;24.2,1838.98;28.58,2492.45;36.45,2202.25;32.15,1858.43;27.91,49.63;1.1,2255.47;34.7,2591.25;39.34,2454.36;40.8,2581.49;38.12,1866.15;27.87,2913.44;42.34,685.88;10.32,3298.99;49.08,1290.51;19.22,2731.97;40.6,5028.25;79.82,166.64;3.62,0;0,5206.22;84.81,1287.48;18.85,4392.32;70.19,2917.71;43.15,2438.51;36.12,2588.2;38.42,2766.3;40.81,2088.6;31.31,922.15;14.23,1947.71;28.18,N/A;N/A,N/A;N/A,1312.13;19.18,1437.28;21.15,1920.18;29.03,2666.41;38.66,5241.92;84.24,5146.98;81.92,3000.03;45.17,5158.32;83.78,5030.31;80.46,3196.67;48.03,1073.87;15.79,2286.02;34.27,3341.98;49.5,N/A;N/A,3343.45;49.84,3505.94;52.1,2236.78;33.06,3002.58;44.89,3422.83;51.3,2196.35;32.12,2313.13;33.38,2940.06;44.46,1112.9;16.79,2433.88;35.5,N/A;N/A,2065.71;30.43,1983.52;29.97,2214.49;33.21,4769.2;75.67,2564.73;38.44,2978.26;44.54,2556.92;39.01
Gates of the Arctic,4730.64;78.92,4680.31;82.01,3381.44;57.7,3157.49;55.01,4233.53;70.95,5170.53;83.78,3504.91;59.75,3432.77;58.49,3469.58;62.68,3378.12;57.92,3981.4;66.4,3562.21;63.16,4586.37;75.87,2872.45;53.19,4106.96;68.72,3711.46;62.06,421.86;9.04,5298.15;86.5,5209.94;84.48,0;0,3907.95;65.92,937.61;18.68,2495.27;44.82,3667.88;62.28,2961.3;52.53,3390.52;57.97,3608.07;60.91,4340.85;72.36,4012.7;66.83,N/A;N/A,N/A;N/A,4108.81;69.18,3811.72;64.3,3580.24;62.59,3790.11;63.8,877.45;17.18,783.2;15.31,3457.45;62.39,48.6;1.08,645.96;12.94,3093.71;56.53,4146.1;69.24,3501.88;59.67,2547.23;48.21,N/A;N/A,2430.63;45.93,2523.95;48.59,3670.62;62.39,3359.9;60.39,2987.79;55.11,3377.13;57.65,3939.75;66.03,3458.69;62.53,4453.94;74.73,2917.32;51.31,N/A;N/A,3199.16;55.98,3936.53;65.73,3185.29;54.89,567.12;11.44,2919.93;52.06,3320.52;60.7,3454.67;58.61
Gateway Arch,1248.63;19.1,1466.98;22.72,1206.11;17.7,915.91;13.39,1155.66;17.56,1246.18;18.13,1067.8;16.73,1408.25;21.33,1342.99;23.35,1295.15;19.37,1047.94;15.8,1929.25;28.28,773.46;11.58,2012.65;30.32,544.26;8.01,1743.63;25.36,3724.39;61.21,1373.81;20.85,1285.6;18.83,3902.36;66.21,0;0,3088.46;51.58,1631.37;24.39,1450.85;21.23,1301.85;19.67,1479.95;22.05,939.33;14.08,527.94;8.06,1079.24;16.23,N/A;N/A,N/A;N/A,398.24;6.14,317.25;4.79,721.04;11.26,1691.28;25.21,3938.06;65.64,3844.98;63.36,2012.37;30.28,3854.46;65.18,3726.44;61.85,1987.09;29.49,291.53;4.7,1135.25;17.78,2086.4;31.64,N/A;N/A,2057.11;31.09,2219.59;33.35,1249.12;18.18,2014.92;30.0,2199.51;33.3,910.01;13.36,1445.23;21.35,1951.79;29.5,790.17;12.11,1130.02;16.89,N/A;N/A,821.75;12.32,1119.83;16.61,928.15;14.46,3465.34;57.07,1278.39;19.69,1850.18;27.95,1486.84;21.91
Glacier Bay,3977;68,3863.78;67.47,2564.91;43.16,2340.96;40.47,3417.0;56.42,4354.0;69.25,2688.38;45.22,2616.24;43.96,2653.05;48.15,2561.59;43.38,3164.87;51.87,2745.68;48.63,3769.84;61.34,2055.92;38.66,3290.44;54.19,2894.94;47.52,756.83;13.71,4481.62;71.96,4393.41;69.94,934.8;18.71,3091.42;51.38,0;0,1678.74;30.29,2851.35;47.75,2144.77;37.99,2573.99;43.43,2791.54;46.38,3524.32;57.82,3196.17;52.3,N/A;N/A,N/A;N/A,3292.28;54.64,2995.19;49.77,2763.71;48.06,2973.53;49.27,970.5;18.14,874.65;16.12,2640.92;47.85,886.91;17.68,758.89;14.35,2277.18;42.0,3329.58;54.71,2685.35;45.14,1730.7;33.67,N/A;N/A,1614.1;31.39,1707.42;34.05,2854.09;47.85,2543.37;45.86,2171.26;40.58,2560.6;43.11,3123.22;51.5,2642.16;48.0,3637.41;60.2,2100.79;36.78,N/A;N/A,2382.63;41.44,3120.0;51.19,2368.76;40.36,497.78;9.57,2103.41;37.53,2503.99;46.17,2638.14;44.08
Glacier,2493.61;37.63,2478.1;41.24,908.81;13.64,729.89;11.47,1776.85;27.21,2877.05;42.27,1032.29;15.69,960.15;14.43,996.96;18.62,905.5;13.86,1524.73;22.66,1461.37;21.36,2343.73;34.82,829.86;14.06,1864.33;27.67,1238.84;18.0,2313.58;40.14,3004.68;44.99,2916.46;42.97,2491.55;45.13,1631.47;24.22,1677.64;30.51,0;0,1195.26;18.22,488.68;8.46,917.9;13.9,1151.39;17.17,2098.21;31.31,1556.03;23.09,N/A;N/A,N/A;N/A,1805.27;27.26,1569.08;23.25,1376.12;22.19,1355.96;20.02,2527.24;44.56,2432.3;42.27,1459.13;22.5,2443.65;44.1,2315.63;40.78,1040.87;17.52,1903.47;28.19,1029.26;15.61,625.77;10.52,N/A;N/A,586.19;10.28,748.68;12.54,1198.0;18.32,1384.89;20.9,1053.85;17.48,920.45;13.91,1467.13;21.97,1460.37;22.65,2211.3;33.68,572.09;9.22,N/A;N/A,1047.17;16.88,1479.85;21.99,728.62;11.15,2054.52;35.99,447.31;8.0,1185.4;18.05,982.05;14.55
Grand Canyon,2624.61;39.04,2902.59;43.47,340.87;5.93,1072.22;17.01,891.25;14.71,2401.52;35.3,423.49;7.7,308.52;5.74,329.67;9.62,374.74;7.3,712.5;10.74,592.64;9.17,2033.33;29.59,1032.13;16.65,1992.83;28.89,407.7;6.6,3486.43;57.63,2529.15;38.01,2440.94;35.99,3664.4;62.62,1449.04;20.95,2850.5;48.0,1195.54;18.25,0;0,792.04;13.44,448.19;7.93,494.34;8.64,1850.18;27.08,668.68;10.92,N/A;N/A,N/A;N/A,1257.58;19.05,1716.4;25.72,1994.92;30.47,378.3;6.09,3700.1;62.05,3604.91;59.73,675.76;11.17,3616.51;61.59,3488.49;58.26,872.4;14.03,1717.93;24.84,280.29;4.75,1300.69;20.4,N/A;N/A,1419.33;22.55,1486.45;23.39,203.58;3.18,678.31;10.89,1098.56;17.3,709.25;11.79,361.66;5.59,615.79;10.46,2209.94;32.35,1248.68;19.99,N/A;N/A,1864.93;27.87,562.57;8.89,1019.77;16.02,3227.38;53.48,922.06;15.07,653.99;10.54,273.68;5.27
